source,target,weight,genres
JTRT/,KBD=/,5.887525270741588,Law
JTRT/,KLJH/,5.887525270741588,Law
JTRT/,KSL=/,5.887525270741588,Law
JTRT/,CNJM/,5.209453365628949,Law
JTRT/,SWR[,5.039528364186637,Law
KBD=/,KLJH/,5.887525270741588,Law
KBD=/,KSL=/,5.887525270741588,Law
KBD=/,CNJM/,5.209453365628949,Law
KBD=/,SWR[,5.039528364186637,Law
KLJH/,KSL=/,5.887525270741588,Law
KLJH/,CNJM/,5.209453365628949,Law
KSL=/,CNJM/,5.209453365628949,Law
JSWD/,QRN/,5.624490864907793,Law
QRN/,>YB</,5.150559676575381,Law
>MH/,FMX[,5.302562770020431,Law
>MH/,BT/,5.080170348683983,Law
>MH/,LWJ/,5.080170348683983,Law
>MH/,<BD/,5.039528364186637,Law
M<FR/,NDR/,5.150559676575381,Law
CKN[,CM/,5.039528364186637,Law
SWR[,BGD/,4.803915838090833,Narrative
NB>[,NBJ>/,5.651912744645784,Narrative
NB>[,RWX/,4.803915838090833,Narrative
<ZB[,XWY/,5.388878338811989,Narrative
XWY/,BGD/,5.218953337369677,Narrative
XWY/,>YL/,5.066950243924628,Narrative
XWY/,<PR/,5.666756591884804,Poetry_Wisdom
BFR/,PRH/,5.22537960652911,Narrative
BFR/,MR>H/,5.1664859174755415,Narrative
BFR/,BRJ>/,4.903451511641747,Narrative
PRH/,BRJ>/,5.125843932978196,Narrative
PRH/,MR>H/,4.973840839533145,Narrative
BGD/,>YL/,4.803915838090833,Narrative
MR>H/,BRJ>/,4.803915838090833,Narrative
MR>H/,DQ/,4.803915838090833,Narrative
KN/,RGL[,5.1664859174755415,Narrative
>SR[,SHR/,5.125843932978196,Narrative
CBLT/,DQ/,5.125843932978196,Narrative
RWX/,YLX[,5.125843932978196,Narrative
KTNT/,NKR[,4.803915838090833,Narrative
FB<==/,KLH[,4.803915838090833,Narrative
NKRJ/,ZR/,6.181329764714562,Poetry_Wisdom
NKRJ/,>CH/,5.403722186051009,Poetry_Wisdom
CKB[,CNH=/,5.9886846867721655,Poetry_Wisdom
>B/,>M/,5.918295358880768,Poetry_Wisdom
C<R/,PTX/,5.918295358880768,Poetry_Wisdom
CNH/,JSP[,5.766292265435718,Poetry_Wisdom
CNH/,RBH[,5.666756591884804,Poetry_Wisdom
PC</,RB=/,5.666756591884804,Poetry_Wisdom
PC</,>RB</,4.851635483618298,Prophecy
PC</,CLC/,4.851635483618298,Prophecy
JR>/,KBD[,5.666756591884804,Poetry_Wisdom
DRK[,LMD[,5.666756591884804,Poetry_Wisdom
HR/,QDC/,5.503257859601924,Poetry_Wisdom
>KL[,FB<[,5.403722186051009,Poetry_Wisdom
>KL[,XJH[,5.403722186051009,Poetry_Wisdom
CKX[,NYX/,5.403722186051009,Poetry_Wisdom
NYX/,STR[,5.403722186051009,Poetry_Wisdom
C>WL/,JRD[,5.310612781659528,Poetry_Wisdom
BXR[,KSP/,5.310612781659528,Poetry_Wisdom
KSP/,>BJWN/,4.72610460153444,Prophecy
>WN=/,P<L[,5.310612781659528,Poetry_Wisdom
DM/,NQJ/,5.181329764714562,Poetry_Wisdom
CJT/,CMJR/,6.048032696421802,Prophecy
CJT/,CM,4.632995197142958,Prophecy
CMJR/,CM,4.632995197142958,Prophecy
>WR/,XCK/,5.632995197142958,Prophecy
CBV/,MVH/,5.503712180197991,Prophecy
R</,VWB/,5.340213447915112,Prophecy
G>WN/,YWR/,5.311067102255596,Prophecy
CTH[,JJN/,5.147568369972716,Prophecy
>DM/,CPL[,5.1411421008132825,Prophecy
<MD[,RGL/,4.989139007368233,Prophecy
>RB</,CLC/,4.714131959868364,Prophecy
>BJWN/,DL/,4.72610460153444,Prophecy
CPV[,JKX[,4.72610460153444,Prophecy
MCPV/,YDQH/,4.569985399617157,Prophecy
M>S[,TWRH/,4.463070195700645,Prophecy
>L/,GBWR/,4.463070195700645,Prophecy
>RMWN/,XWMH/,4.436597984339454,Prophecy
